Item,Item_Code,SPAM_crop_num,SPAM_name,SPAM_name_abr,GAEZres06,GAEZres04,GAEZres04_group4mean,group_name,animal_bd_name,group_name_v2,group_name_v3,group_name_v4,group_name_v5,group_name_v6,group_name_v7,spam_2000,spam_2005,spam_2010,spam_2020
Linseed,333,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Oilcrops,Oilcrops,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
Poppy seed,296,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Oilcrops,Oilcrops,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
Safflower seed,280,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Oilcrops,Oilcrops,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
Tung nuts,275,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Oilcrops,Oilcrops,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
Triticale,97,8,other cereals,ocer,oce,,Cereals,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",,OCER,OCER,OCER
Buckwheat,89,8,other cereals,ocer,oce,bck,,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",,OCER,OCER,OCER
Fonio,94,8,other cereals,ocer,oce,,Cereals,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",,OCER,OCER,OCER
Yams,137,11,yams,yams,rt3,yam,,Roots and tubers,,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,"Grains, roots, starchy carbohydrates",,YAMS,YAMS,YAMS
Hempseed,336,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Oilcrops,Oilcrops,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
Taro (cocoyam),136,13,other roots,orts,rt3,,Roots,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,ORTS,ORTS,ORTS
Cow peas; dry,195,16,cowpea,cowp,nes,cow,,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,COWP,COWP,COWP
Melonseed,299,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
Tallowtree seed,305,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
Okra,430,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Carobs,461,19,other pulses,opul,pls,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,Fruit and vegetables,,OPUL,OPUL,OPUL
Chicory roots,459,13,other roots,orts,rt3,,Roots,Roots and tubers,,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,"Grains, roots, starchy carbohydrates",,ORTS,ORTS,ORTS
Fruit; stone nes,541,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
